objid,type,name,ra,dec,u,g,r,i,z,redshift

1237655125002682379,GALAXY,NGC 3611,169.375739068926,4.55557960274718,13.97192,12.65235,12.04604,11.84794,11.64262,Null
1237658423564304556,GALAXY,NGC 4224,184.14074562741,7.46209464155019,14.78747,12.74,11.75349,11.28601,11.00813,0.008620848
1237658493890396269,GALAXY,NGC 4067,181.048083732083,10.8543945133724,15.20529,13.42247,12.62323,12.25108,11.94326,Null
1237661055818662378,GALAXY,PGC 012490,50.0919190530383,41.6409169240675,15.79343,14.92256,14.49762,14.40685,14.28626,0.01302578
1237661069249085495,GALAXY,IC 591,151.865383408546,12.2745019750847,15.31001,14.3112,13.85108,13.63844,13.46336,0.009395114
1237666214081855505,GALAXY,NGC 573,22.7055483493438,41.2572155296244,18.75289,17.23029,16.705,16.40855,16.14462,Null
1237667444048855053,GALAXY,NGC 4291,195.358850418434,27.8859729562161,15.50047,13.5844,12.71182,12.29626,11.99828,0.01823567
1237667733976973323,GALAXY,IC 851,197.142822743327,21.0499821495644,15.26664,14.19091,13.71517,13.45039,13.33602,0.008769421
1237678860077170756,GALAXY,NGC 7515,348.20281404167,12.6793377563651,14.60289,12.91637,12.10738,11.71015,11.42517,Null
