name,zErr,zWarning,class
NGC4600,6.71E-06,0,STAR
NGC7814,1.01E-05,0,STAR
NGC4249,8.28E-06,0,GALAXY
NGC4270,nan,nan,nan
NGC3917A,7.91E-06,0,GALAXY
PGC026857,7.09E-06,0,GALAXY
NGC3998,nan,nan,nan
VCC1148,1.11E-05,0,GALAXY
VCC200,1.13E-05,0,STAR
NGC4660,nan,nan,nan
IC3586,1.63E-05,0,GALAXY
VCC1993,1.22E-05,0,STAR
NGC4430,1.54E-05,0,GALAXY
UGC08799,5.47E-05,0,GALAXY
NGC4318,5.53E-06,0,GALAXY
UGC07854,1.24E-05,0,STAR
NGC5557,nan,nan,nan
NGC428,1.40E-05,0,STAR
NGC4405,1.59E-05,0,GALAXY
UGC08760,1.65E-05,0,GALAXY
NGC5273,8.79E-06,16,GALAXY
NGC2753,9.83E-06,0,GALAXY
UGC05340,6.93E-06,0,GALAXY
PGC035754,6.14E-06,0,GALAXY
NGC4875,8.09E-06,0,GALAXY
EVCC0662,0.000121285,4,GALAXY
LEDA213183,1.22E-05,0,GALAXY
NGC777,nan,nan,nan
NGC518,nan,nan,nan
